DATE,FTSE100,Nikkei,SP500,SSE,USDINDEX
2006/7/18,0.013414343,-0.027868295,0.009871415,0.011371475,0.004577
2006/7/19,-0.001226097,0.004355569,-0.007102058,-0.023483856,-0.002099361
2006/7/20,-0.008901232,0.030333331,0.016488455,0.006037026,-0.003288657
2006/7/21,0.019757238,-0.008437275,0.006300916,0.006147412,-0.000804572
2006/7/24,0.002959344,-0.001807131,-0.000378343,0.000369809,0.002609205
2006/7/25,0.004423511,0.014143999,-0.004108137,0.011647241,0.001611384
2006/7/26,0.008874763,-0.008107954,0.012078516,0.000707564,-0.001991089
2006/7/27,0.007632503,0.019672763,-0.001479342,-0.006833276,-0.005216027
2006/7/28,-0.007828154,0.010686582,-0.004506237,-0.007873088,-0.001777034
2006/7/31,-0.008042946,0.007398776,0.005093535,-0.030110077,-0.00055393
2006/8/1,0.008680359,-0.001029164,0.002236392,-0.007542961,0.001752552
2006/8/2,-0.015931745,0.001513007,-0.000711068,0.000161134,-0.00232823
2006/8/3,0.008705902,0.000393092,-0.002810008,0.000116202,0.001287673
2006/8/4,-0.010342978,0.00186051,-0.003368373,-0.019493479,-0.004792775
2006/8/7,-0.001839118,-0.022518645,-0.004358771,-0.014571781,-0.000939986
2006/8/8,0.007257776,0.020288977,0.004618339,0.021190596,0.001471604
2006/8/9,-0.006348956,0.012334473,-0.003994466,-0.001273121,-0.002175378
2006/8/10,-0.000558251,-0.00164153,0.001159763,0.017270186,0.004592262
2006/8/11,0.008680236,-0.004224316,0.013603517,-8.65E-05,-0.001046634
2006/8/14,0.00459013,0.018591944,0.007632784,-0.022154957,0.001853347
2006/8/15,-0.000217051,-0.002583876,0.001581178,0.015739956,-0.001669289
2006/8/16,0.000647621,0.016004702,0.003708063,0.012922109,-0.004251168
2006/8/17,0.000498146,-0.003148463,-0.003677204,-0.008123679,-0.000419025
2006/8/18,0.002010391,0.005300296,0.001001353,-0.003319907,0.004193618
2006/8/21,-0.002132363,-0.008538811,-0.00449876,0.00195806,-0.003813612
2006/8/22,-0.007243279,0.013196365,0.002371581,0.007593713,0.002280077
2006/8/23,0.001543167,-0.001121663,-0.000748774,-0.00059458,-0.000356592
2006/8/25,0.003264338,-0.013978938,0.007071022,0.006576004,0.003167982
2006/8/29,0.006948974,-0.003022419,-0.000352811,0.017098458,-0.001102948
2006/8/30,-0.003922114,-0.001167414,0.005499464,0.002523063,-0.002002519
2006/8/31,0.007257558,0.016789954,0.001707141,0.002077953,0.000663856
2006/9/1,0.006281968,-0.000403394,-0.009940729,-0.013320202,-0.001389683
2006/9/5,-0.009629217,0.015480586,-0.004810585,0.016594673,-0.000709934
2006/9/6,-0.01207237,-0.00623638,0.003779516,0.004821646,0.001738035
2006/9/7,0.003603872,-0.016824491,0.000477202,-0.006558686,0.002068372
2006/9/8,-0.004859328,0.004240811,0.01030421,0.004081539,0.004092389
2006/9/11,0.007612679,-0.017950695,0.003853909,0.004177115,0.001755882
2006/9/12,-0.000564999,-0.004762382,-0.001358906,0.01239837,-0.001082056
2006/9/13,-0.002537096,0.001951737,0.002564555,-0.003824255,-0.00102415
2006/9/14,-3.57E-05,0.01213805,0.001151164,0.000179326,-0.001719794
2006/9/15,0.002250312,-0.004744528,-0.002683049,0.018385416,0.002054846
2006/9/19,-0.004086263,0.000463157,0.000295951,0.0082146,-0.00040839
2006/9/20,0.005185781,-0.009851034,-0.002468846,-0.001607965,-0.000149751
2006/9/21,-0.012706022,0.007324909,0.00877651,0.004864471,-0.00213971
2006/9/22,-0.004125442,-0.012683203,0.007496115,-0.008966514,-0.000807916
2006/9/25,0.012892725,-5.50E-05,0.00017957,-0.001737374,0.001268269
2006/9/26,0.0095886,-0.004896213,0.001711878,-0.005664641,0.000659028
2006/9/27,0.006923536,0.024785649,-0.002265672,0.007215358,-0.000456989
2006/9/28,-0.00176498,0.004815333,-0.003396885,0.006888569,0.000279522
2006/9/29,-0.000500057,0.006390237,0.002093501,0.00886175,0.000686232
2006/10/10,0.019230371,0.021449787,0.021298996,0.018341192,0.00819321
2006/10/11,0.007834533,-0.004664532,0.002045147,0.002932585,2.12E-05
2006/10/12,0.005868769,-0.001938441,0.002515882,-0.006682772,-0.000845531
2006/10/13,0.002442887,0.010194753,-0.003666164,0.003634734,-0.000311692
2006/10/16,-0.010381992,0.009402658,0.001282122,-0.007512535,-0.000913371
2006/10/17,0.006814606,-0.004874444,0.000848894,-0.004185313,-0.001770384
2006/10/18,0.000906848,0.002489745,0.001199034,0.013113955,0.000821702
2006/10/19,-0.000126714,-0.006122144,0.006133456,0.002831727,-0.003318336
2006/10/20,0.001775784,0.006039925,0.000261389,-0.001054558,-0.001290897
2006/10/23,0.002652925,0.008205046,0.003507734,-0.017449503,0.002903194
2006/10/24,0.005168979,-0.000497455,0.004950745,0.025691424,-0.00100916
2006/10/25,-0.004795414,-0.004848903,-0.008487548,0.000811205,-0.001458119
2006/10/26,-0.003878278,0.006702252,0.000428334,0.0022116,-0.003212708
2006/10/27,-0.005548666,-0.008514176,7.18E-06,-0.001918806,-0.004087381
2006/10/30,0.00039654,-0.019213908,-0.007378624,0.001371896,0.000777202
2006/10/31,0.003322793,0.00290316,-0.000343742,0.015537463,-0.001816809
2006/11/1,-5.53E-05,-0.001472532,-0.002225709,0.009594758,0.001075506
2006/11/2,-0.000187031,-0.001542553,0.011282575,-0.002373357,0.001646934
2006/11/6,0.015466626,0.000901137,0.004295752,0.018725315,0.001538922
2006/11/7,-0.000796286,0.001749206,-0.00534725,0.001707183,-0.00369473
2006/11/8,-0.001196422,-0.010897045,0.001862888,-0.012093286,0.001381359
2006/11/9,-0.003717064,-0.001059404,0.002545833,0.01576577,-0.000778126
2006/11/10,-0.002294683,-0.005331981,0.006336283,-0.006950083,-0.000413401
2006/11/13,-0.00121963,-0.00559763,0.002401598,-0.010451894,0.003345386
2006/11/14,0.006952112,0.016530412,0.002281609,0.013046013,-0.00043879
2006/11/15,0.004014538,-0.002832821,0.001028177,0.018208039,0.000903962
2006/11/16,-0.010092567,-0.004912453,-0.000499662,0.009632381,-0.000266809
2006/11/17,0.002013462,-0.004473007,0.001648094,0.015458189,0.001794732
2006/11/20,-0.000306275,-0.022993899,0.002335369,0.022806335,0.00040712
2006/11/21,-0.006849552,0.000521246,-0.003662236,0.009999488,-3.98E-05
2006/11/22,-0.003299118,0.011380856,-0.01364779,0.001864705,-0.00501144
2006/11/24,-0.014751618,-0.011351623,0.003438472,0.004622025,-0.004787334
2006/11/27,-0.00400299,0.009537097,0.009159499,-0.001725211,-0.000691523
2006/11/28,0.009653039,-0.00189789,0.000821414,-0.004187982,-0.0016075
2006/11/29,-0.005853373,0.013838638,-0.002802696,0.007510821,0.000153846
2006/11/30,-0.004525131,0.012249095,0.008845949,0.021765301,-0.002892955
2006/12/1,0.004786303,0.002911404,0.00399452,0.001313872,-0.001237073
2006/12/4,0.005930716,-0.00111511,-0.001315566,0.027958253,-0.000275804
2006/12/5,0.000645491,-0.002323048,-0.00397845,0.005368937,-0.002322467
2006/12/6,0.006730605,0.006466326,0.001810302,-0.007705043,0.000786526
2006/12/7,0.003412595,0.006215896,0.002267241,6.77E-05,0.00038213
2006/12/8,0.001190688,-0.003377144,-0.001047922,-0.029699265,0.003022813
2006/12/11,-0.000547248,0.006687972,0.001168167,0.040649223,0.000541192
2006/12/12,0.005840232,0.00662065,0.008651922,0.017482112,0.000489201
2006/12/13,0.005716408,0.003309287,0.001121775,0.002027798,0.000183001
2006/12/14,0.005134549,0.008130169,-0.003235569,0.011472303,0.000671751
2006/12/15,-0.002013201,0.005044615,0.002155925,0.010965289,0.001972337
2006/12/18,-0.006983993,0.002821955,-0.001418016,0.025412474,0.00175336
2006/12/19,-0.000864339,-0.010980197,-0.003680717,0.013517578,-0.002314425
2006/12/20,-0.002405049,0.01386069,-0.005330433,0.003811424,-0.001601384
2006/12/21,0.001013442,0.002160438,0.00434283,-0.012835703,0.001431146
2006/12/22,0.008889333,0.003345607,0.006990782,0.000311518,0.002025501
2006/12/27,-0.000687159,0.006885897,-0.006003179,0.079023403,0.000991154
2006/12/28,-0.003232291,9.64E-05,-0.001199388,0.012228658,-0.001461859
2006/12/29,0.014382927,5.92E-05,0.001227532,0.041157335,-0.000354462
2007/1/4,-0.014493852,0.007394001,-0.003885311,0.014930135,0.005077205
2007/1/5,-0.004182287,-0.015217486,-0.00051681,-0.027772655,0.002611299
2007/1/9,-0.005419752,0.008516359,0.008258333,0.061118581,0.001881026
2007/1/10,0.011200408,-0.017283501,0.004841427,0.006309545,0.001327155
2007/1/11,0.001433947,-0.00617105,0.000817461,-0.019825143,-9.99E-05
2007/1/12,0.003911232,0.012912921,-0.000894337,-0.037516673,-0.001668321
2007/1/16,-0.00946436,0.008491202,-0.002975161,0.055727093,0.000618675
2007/1/17,0.000935985,0.003417424,0.002891282,-0.015042359,-0.0023573
2007/1/18,0.004325387,0.006328226,-0.005291886,-0.007918197,0.000794562
2007/1/19,-0.003012297,-0.003488346,0.003535707,0.026919344,-0.001450525
2007/1/22,0.001475168,0.006549123,0.008465537,0.035034271,0.00143417
2007/1/23,0.01390187,-0.000896247,-0.011333788,0.005424425,-0.000156411
2007/1/24,-0.007236176,0.005661039,-0.001208659,0.008772394,0.00098406
2007/1/25,-0.006596649,-0.002808446,-0.001097551,-0.0403875,-0.000698859
2007/1/26,0.001899275,-0.002085485,0.005755498,0.008778263,0.003158348
2007/1/29,0.000333284,0.002781769,0.006571246,0.021519966,0.000585672
2007/1/30,-0.006246681,0.001128612,0.005339451,-0.005003879,-0.00056122
2007/1/31,0.012677458,-0.006123247,0.001693017,-0.050467119,-0.001912139
2007/2/1,0.004556453,0.007797673,-0.000967075,-0.000324161,-0.002595133
2007/2/2,0.001105408,0.001574682,0.000697764,-0.041122223,0.002700268
2007/2/5,0.004478789,-0.011596434,0.001394069,-0.022958892,-0.001065132
2007/2/6,0.003650601,0.003571551,-0.001179963,0.023888093,-0.001373171
2007/2/7,-0.003630116,-0.006601856,-0.007102376,0.015014744,-0.000120741
2007/2/8,0.005726992,9.26E-06,-0.003266712,0.007905158,0.000951208
2007/2/9,-0.004613593,0.012176531,0.007568775,-0.00268683,-0.001118019
2007/2/13,0.010607027,0.006668582,0.008652068,0.036495016,-1.33E-05
2007/2/14,0.001884161,0.007417407,-0.000872162,0.025527408,-0.004394209
2007/2/15,-0.002145828,0.008111706,0.002840278,0.029813511,-0.001225078
2007/2/16,0.003872837,-0.001206505,-0.001405438,0.001824612,5.35E-05
